car name (koenigsegg)
Cc850
Gemera
Jesko-absolut
Jesko-attack
Regera
Agera-rs
One1
Agera-s
Agera-r
Agera
Ccxr
Ccx
Ccgt
Ccr
Cc8s
Cc-prototype
car name (pagani)
zonda-c12
zonda-s
zonda-roadster
zonda-f
zonda-roadster-f
zonda-cinque
zonda-cinque-roadster
zonda-tricolore
zonda-r
zonda-revolution
huayra
huayra-bc
huayra-roadster
huayra-roadster-bc
huayra-r
huayra-r-evo
utopia-roadster
zonda-hp-barchetta
huayra-tricolore
huayra-codalunga
